name,mass (g),year,reclat,reclong
Aachen,21.0,1880,50.775,6.08333
Achiras,780.0,1902,-33.16667,-64.95
Agen,30000.0,1814,44.21667,0.61667
Akbarpur,1800.0,1838,29.71667,77.95
Alais,6000.0,1806,44.11667,4.08333
Albareto,2000.0,1766,44.65,11.01667
Aldsworth,700.0,1835,51.78333,-1.78333
Alessandria,908.0,1860,44.88333,8.75
Alfianello,228000.0,1883,45.26667,10.15
Allegan,32000.0,1899,42.53333,-85.88333
Allende,2000000.0,1969,26.96667,-105.31667
Angra dos Reis (stone),1500.0,1869,-22.96667,-44.31667
Apt,3200.0,1803,43.86667,5.38333
Asco,41.0,1805,42.45,9.03333
Atemajac,94.2,1896,20.06667,-103.66667
Aubres,800.0,1836,44.38333,5.16667
Aumale,50000.0,1865,36.16667,3.66667
Aumieres,2000.0,1842,44.33333,3.23333
Ausson,50000.0,1858,43.08333,0.58333
Avilez,146.0,1855,25.0,-103.5
Bachmut,18000.0,1814,48.6,38.0
Bandong,11500.0,1871,-6.91667,107.6
Barbotan,6400.0,1790,43.95,-0.05
Barea,3200.0,1842,42.38333,-2.5
Barnaul,23.2,1904,52.73333,84.08333
Barntrup,17.0,1886,52.0,9.1
Benares (a),3700.0,1798,25.36667,82.91667
Berlanguillas,1440.0,1811,41.68333,-3.8
Bethlehem,13.9,1859,42.53333,-73.83333
Beuste,2000.0,1859,43.21667,-0.23333
Bhagur,18.0,1877,20.88333,74.83333
Bialystok,4000.0,1827,53.1,23.2
Bishopville,6000.0,1843,34.16667,-80.28333
Bjelaja Zerkov,1850.0,1796,49.78333,30.16667
Bjurböle,330000.0,1899,60.4,25.8
Blansko,470.0,1833,49.36667,16.63333
Bocas,56.0,1804,23.0,-102.0
Boguslavka,256000.0,1916,44.55,131.63333
Borgo San Donino,1676.0,1808,44.86667,10.05
Bori,8600.0,1894,21.95,78.03333
Borkut,7000.0,1852,48.15,24.28333
Borodino,500.0,1812,55.46667,35.86667
Botschetschki,614.0,1823,51.33333,33.88333
Bradford Woods,762.0,1886,40.5,-80.08333
Braunau,39000.0,1847,50.6,16.3
Bremervörde,7250.0,1855,53.4,9.1
Bruderheim,303000.0,1960,53.9,-112.88333
Bur-Gheluai,120000.0,1919,5.0,48.0
Bustee,1500.0,1852,26.78333,82.83333
Butsura,29000.0,1861,27.08333,84.08333
Cabezo de Mayo,25000.0,1870,37.98333,-1.16667
Cabin Creek,48500.0,1886,35.5,-93.5
Cañellas,945.0,1861,41.25,1.66667
Cangas de Onis,34000.0,1866,43.38333,-5.15
Cape Girardeau,2300.0,1846,37.26667,-89.58333
Castine,94.0,1848,44.38333,-68.75
Castrovillari,15000.0,1583,39.8,16.2
Caswell County,1360.0,1810,36.5,-79.25
Cereseto,6460.0,1840,45.08333,8.3
Chail,0.5,1814,25.36667,81.66667
Chajari,18300.0,1933,-30.78333,-58.05
Chandakapur,8800.0,1838,20.26667,76.01667
Chantonnay,31500.0,1812,46.68333,1.05
Charlotte,4300.0,1835,36.16667,-87.33333
Charsonville,27000.0,1810,47.93333,1.56667
Charwallas,12000.0,1834,29.48333,75.5
Chassigny,4000.0,1815,47.71667,5.36667
Château-Renard,30000.0,1841,47.93333,2.91667
Chetrinahatti,72.0,1880,14.5,76.5
Cold Bokkeveld,5200.0,1838,-33.13333,19.38333
Conquista,20350.0,1965,-19.85,-47.55
Cosina,1200.0,1844,21.16667,-100.86667
Cronstad,3650.0,1877,-27.7,27.3
Cross Roads,167.0,1892,35.63333,-78.13333
Dandapur,5650.0,1878,26.91667,83.96667
Daniel's Kuil,1064.0,1868,-28.2,24.56667
Danville,2000.0,1868,34.4,-87.06667
Darmstadt,100.0,1804,49.86667,8.65
De Cewsville,340.0,1887,43.0,-80.0
Deal,28.0,1829,40.25,-74.0
Delhi,0.8,1897,28.56667,77.25
Demina,16400.0,1911,51.46667,84.76667
Dharwar,1800.0,1848,14.88333,75.6
Dhurmsala,32000.0,1860,32.23333,76.46667
Djati-Pengilon,166000.0,1884,-7.5,111.5
Doroninsk,3891.0,1805,51.2,112.3
Drake Creek,5000.0,1827,36.4,-86.5
Durala,13200.0,1815,30.3,76.63333
Duruma,577.0,1853,-4.0,39.5
Dyalpur,300.0,1872,26.25,82.0
